column_name,measure,value_2020_2,value_2021_1
CommunityHealthPartnership2007,null_count,224174,224827
CommunityHealthPartnership2011,null_count,224174,224827
CommunityHealthPartnership2012,null_count,224174,224827
CommunityHealthPartnershipSA2011,null_count,224174,224827
CouncilArea2011Code,null_count,224174,224827
CouncilArea2018Code,null_count,224174,224827
DateOfDeletion,null_count,158274,158774
DateOfDeletion,distinct_values,291,292
DateOfDeletion,maximum_value,44029,44211
DateOfIntroduction,distinct_values,468,470
DateOfIntroduction,maximum_value,44029,44223
ElectoralWard1995Code,null_count,224174,224827
ElectoralWard2000Code,null_count,224174,224827
ElectoralWard2011Code,null_count,224174,224827
ElectoralWard2016Code,null_count,224174,224827
ElectoralWard2018Code,null_count,224174,224827
EuropeanParlCon,null_count,224174,224827
GridlinkCoordinateIndicator,null_count,224174,224827
GridReferenceEasting,distinct_values,108502,108644
GridReferenceNorthing,distinct_values,100728,100898
GridReferenceNorthing,minimum_value,1000601,1000061
HealthBoardArea2014Code,null_count,224174,224827
HealthBoardArea2018Code,null_count,224174,224827
HouseholdCount,distinct_values,124,125
IntegrationAuthority2016Code,null_count,224174,224827
IntegrationAuthority2018Code,null_count,224174,224827
Islands2014Code,null_count,224174,224827
Islands2016Code,null_count,224174,224827
LAU2,null_count,224174,224827
LAU2011Level1Code,null_count,224174,224827
LAU2011Level2Code,null_count,224174,224827
LAU2018Level1Code,null_count,224174,224827
LinkedSmallUserPostcode,distinct_values,9130,9126
LocalEnterpriseCompany,null_count,224174,224827
LocalGovernmentRegion1991Code,null_count,224174,224827
LocalGovernmentRegion1995Code,null_count,224174,224827
Locality1991Code,null_count,224174,224827
Locality2001Code,null_count,224174,224827
Locality2003Code,null_count,224174,224827
Locality2004Code,null_count,224174,224827
Locality2006Code,null_count,224174,224827
Locality2008Code,null_count,224174,224827
Locality2010Code,null_count,224174,224827
Locality2012Code,null_count,224174,224827
MultiMemberWard2007,null_count,224174,224827
MultiStoreyAccomInd,null_count,224174,224827
NationalPark,null_count,224174,224827
NUTS,null_count,224174,224827
NUTS2013Level2Code,null_count,224174,224827
NUTS2013Level3Code,null_count,224174,224827
OutputArea2001Code,distinct_values,41466,41465
OutputArea2011Code,distinct_values,46330,46329
Postcod1,null_count,224174,224827
Postcod2,null_count,224174,224827
Postcode,distinct_values,224174,224827
PostcodeCompressed,distinct_values,224174,224827
PostcodeUnit,distinct_values,224174,224827
REDDW,null_count,224174,224827
RegOutcomeAreaCPP,null_count,224174,224827
RegOutcomeAreaLOC,null_count,224174,224827
RowComments,minimum_value,The data is based on the July 2020 release of Royal Mail's Postal Address File (PAF).,The data is based on the January 2021 release of Royal Mail's Postal Address File (PAF).
RowComments,maximum_value,The data is based on the July 2020 release of Royal Mail's Postal Address File (PAF).,The data is based on the January 2021 release of Royal Mail's Postal Address File (PAF).
RowIsCurrent,minimum_value,N,Y
RowIsCurrent,maximum_value,N,Y
RowValidFrom,minimum_value,44013,44197
RowValidFrom,maximum_value,44013,44197
RowValidTo,minimum_value,44196.999999988424,2958465
RowValidTo,maximum_value,44196.999999988424,2958465
ScottishIndexofMultiDeprivat2012,null_count,224174,224827
ScottishIndexofMultiDeprivat2016,null_count,224174,224827
ScottishParlCon,null_count,224174,224827
ScottishParlCon0507,null_count,224174,224827
ScottishParlCon0511,null_count,224174,224827
ScottishParlRegion,null_count,224174,224827
ScottishParlRegion0507,null_count,224174,224827
ScottishParlRegion0511,null_count,224174,224827
Settlement2001Code,null_count,224174,224827
Settlement2003Code,null_count,224174,224827
Settlement2004Code,null_count,224174,224827
Settlement2006Code,null_count,224174,224827
Settlement2008Code,null_count,224174,224827
Settlement2010Code,null_count,224174,224827
Settlement2012Code,null_count,224174,224827
ShelteredHousingAccomInd,null_count,224174,224827
SheriffCourtDistrict,null_count,224174,224827
SIMD,null_count,224174,224827
SourceReleaseVersion,minimum_value,2020-2,2021-1
SourceReleaseVersion,maximum_value,2020-2,2021-1
Splitare,null_count,224174,224827
StudentAccomInd,null_count,224174,224827
UrbanRural6Fold2011_2012Code,null_count,224174,224827
UrbanRural6Fold2013_2014Code,null_count,224174,224827
UrbanRural8Fold2011_2012Code,null_count,224174,224827
UrbanRural8Fold2013_2014Code,null_count,224174,224827
WestminsterParlCon,null_count,224174,224827
